scenario_id,run,run_path,run_class,git_commit,nav2_status,succeeded,wrapper_trial_exit,wall_duration_s,simulation_duration_s,trajectory_length_m,final_xy_error_m,dynamic_min_clearance_m,script_to_gazebo_error_m,dynamic_service_failures,gazebo_non_ground_contact,gazebo_robot_dynamic_contact,gazebo_contact_pairs,gazebo_robot_dynamic_contact_pairs,dynamic_plot,evidence_complete,failure_reason
S1_crossing,formal_01,experiments/oracle_mppi/gate2/S1_crossing/formal_01,formal,079b0e9626f41d969f7e1508aa0f3df8d541693a,4,True,0,212.10331801100256,163.3,18.595594211681206,0.03568683722421013,1.7561234222864135,0.015000000000000568,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S1_crossing/formal_01/dynamic_trajectory_comparison.png,True,
S1_crossing,formal_02,experiments/oracle_mppi/gate2/S1_crossing/formal_02,formal,079b0e9626f41d969f7e1508aa0f3df8d541693a,4,True,0,204.84104391399887,158.7,18.230281138262683,0.03131757889504609,0.27847159319505765,0.015000000000000568,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S1_crossing/formal_02/dynamic_trajectory_comparison.png,True,
S1_crossing,formal_03,experiments/oracle_mppi/gate2/S1_crossing/formal_03,formal,079b0e9626f41d969f7e1508aa0f3df8d541693a,4,True,0,211.70820486899902,164.5,18.313424300397596,0.03415516696131935,1.5231441724469712,0.015000000000000568,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S1_crossing/formal_03/dynamic_trajectory_comparison.png,True,
S1_crossing,postfix2_01,experiments/oracle_mppi/gate2/S1_crossing/postfix2_01,postfix2,bfab28f87d6f66339175c7116159a7b8d2fc1bc3,4,True,0,223.92530345798878,174.0,18.310966772549587,0.026521555790973858,1.6723074837695058,0.015000000000000568,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S1_crossing/postfix2_01/dynamic_trajectory_comparison.png,True,
S1_crossing,recheck_01,experiments/oracle_mppi/gate2/S1_crossing/recheck_01,recheck,f01235e5dd73e9f8a0fe926af762ff5f4d441d87,4,True,0,208.00163314500242,161.7,18.6265564598635,0.05432305607481986,0.7727163664647262,0.015000000000000568,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S1_crossing/recheck_01/dynamic_trajectory_comparison.png,True,
S1_crossing,smoke_01,experiments/oracle_mppi/gate2/S1_crossing/smoke_01,smoke,770bbd25cbfbfdd12bc18caede4ed2419111817b,4,True,0,203.25279160899663,158.20000000000002,17.759142472480175,0.025261261634556612,,,,False,False,(none),(none),,False,incomplete run: dynamic evidence missing
S1_crossing,smoke_02,experiments/oracle_mppi/gate2/S1_crossing/smoke_02,smoke,770bbd25cbfbfdd12bc18caede4ed2419111817b,,,,,,,,,,,,,(none),(none),,False,incomplete run: metrics.yaml missing
S1_crossing,smoke_03,experiments/oracle_mppi/gate2/S1_crossing/smoke_03,smoke,770bbd25cbfbfdd12bc18caede4ed2419111817b,4,True,0,230.78440485399915,178.5,17.73265138054346,0.09550196227106872,1.0624423421863292,0.020624999999999893,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S1_crossing/smoke_03/dynamic_trajectory_comparison.png,True,
S1_crossing,smoke_04,experiments/oracle_mppi/gate2/S1_crossing/smoke_04,smoke,770bbd25cbfbfdd12bc18caede4ed2419111817b,6,False,5,199.3665777080023,157.2,5.941973742045849,16.842879628043246,0.0,0.016666666666666607,0,True,True,"collision1: ""waffle::base_link::base_collision"" collision2: ""crate_west_north::link::collision"";collision1: ""waffle::base_link::base_collision"" collision2: ""oracle_dynamic_obstacle::link::collision"";collision1: ""waffle::wheel_right_link::wheel_right_collision"" collision2: ""oracle_dynamic_obstacle::link::collision","collision1: ""waffle::base_link::base_collision"" collision2: ""crate_west_north::link::collision"";collision1: ""waffle::base_link::base_collision"" collision2: ""oracle_dynamic_obstacle::link::collision"";collision1: ""waffle::wheel_right_link::wheel_right_collision"" collision2: ""oracle_dynamic_obstacle::link::collision",experiments/oracle_mppi/gate2/S1_crossing/smoke_04/dynamic_trajectory_comparison.png,True,robot-dynamic physical collision
S1_crossing,smoke_05,experiments/oracle_mppi/gate2/S1_crossing/smoke_05,smoke,770bbd25cbfbfdd12bc18caede4ed2419111817b,4,True,0,241.7818138970033,186.60000000000002,20.66134683727604,0.10418399585000787,0.03394539975967912,0.015000000000000568,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S1_crossing/smoke_05/dynamic_trajectory_comparison.png,True,
